;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Nature of the offence, total;Copenhagen;94484;96869;98805;96714;102506;104867;105541;102004;98887;108000;97962;92898;99855;81987
;;Frederiksberg;8287;8093;8451;8959;9960;10361;10169;9630;9071;8747;9096;7502;7733;7440
;;Dragør;678;705;675;701;665;771;630;527;611;612;666;533;699;644
;;Tårnby;5585;6032;6487;6635;6549;7144;7310;7776;10024;8831;8830;8187;7899;4882
;;Albertslund;3004;3426;3438;3288;2938;2882;3244;2816;2700;3006;2696;2591;2682;3466
;;Ballerup;4633;4644;5290;4975;4665;4245;4763;4566;4376;4681;4365;3770;4029;3598
;;Brøndby;3374;3725;3670;3359;3536;3400;3626;3860;3388;4116;3827;3863;3144;2634
;;Gentofte;5683;5512;6672;6283;5961;6246;5917;5991;5341;6076;6497;5884;5668;4579
;;Gladsaxe;4435;4990;5707;5325;4812;4895;5266;4920;5221;5050;4731;4645;4500;4198
;;Glostrup;2744;2924;2976;2638;2474;2596;2701;2787;2937;3090;2723;2872;2657;2306
;;Herlev;2778;2725;3034;3110;2778;2685;2941;2797;2850;2702;2669;2805;2950;3006
;;Hvidovre;5455;5467;5739;5628;4735;5047;5453;5053;4576;4533;4852;4520;4210;4534
;;Høje-Taastrup;4302;5054;5209;4863;4216;4157;4614;4588;4981;5199;4790;4470;4645;4297
;;Ishøj;2576;3318;2935;2562;2208;2169;2268;2121;2191;2068;2030;2282;2120;2039
;;Lyngby-Taarbæk;5289;5453;5066;5311;4940;5384;5060;5344;5318;4924;4933;5140;4418;3482
;;Rødovre;4245;4361;4427;4426;4044;3931;3881;3604;3646;3568;3656;3397;3355;3214
;;Vallensbæk;933;1222;1356;1146;1058;1102;1073;1039;912;924;939;911;989;785
;;Allerød;1450;1657;1732;2136;4328;3010;6858;6383;6014;6326;3426;3747;1874;1131
;;Egedal;2256;2375;2738;2555;2317;2134;2057;2029;1891;2024;1822;1805;1601;1512
;;Fredensborg;2528;2560;3049;2785;2562;2768;2829;2884;2476;2189;2036;1891;1809;1704
;;Frederikssund;3410;3674;3466;3106;2800;2948;3482;3074;2808;2883;2914;2695;2883;2579
;;Furesø;2600;2777;3078;3317;2880;2492;2560;2551;2341;2675;2398;2227;2051;1737
;;Gribskov;2289;2859;3156;2876;2717;2718;2562;3194;3104;2790;2638;2473;2663;2250
;;Halsnæs;2360;2667;2602;2594;2661;2811;2577;2402;1795;2119;2520;1814;2055;1849
;;Helsingør;6786;7387;7328;6846;6392;6374;6851;6139;5270;5268;5687;4611;4884;4312
;;Hillerød;3530;3871;3886;3934;5827;4307;4202;4014;3802;4191;3765;3575;3501;3134
;;Hørsholm;1642;1629;1810;1806;1665;1673;1670;1730;1811;1873;2344;2759;2285;2652
;;Rudersdal;3254;3325;4239;3735;4137;4055;3352;3803;3833;4073;4031;3708;3774;3098
;;Bornholm;2324;2458;2192;2065;1672;1825;2158;1910;1819;1784;1729;1660;1776;1501
;;Christiansø;1;0;0;0;1;0;0;0;1;0;1;1;0;0
;;Greve;4001;5506;5762;5316;4786;4600;4674;4414;3865;4044;3716;3575;3495;3230
;;Køge;4770;5945;6526;6059;5861;5445;5590;5275;4485;4826;4675;3897;3970;4096
;;Lejre;1282;1636;1636;1586;1392;1396;1375;1349;1133;1227;1174;1592;1087;880
;;Roskilde;7707;9161;9472;8853;9503;9432;9396;9191;8603;8212;8685;7825;7044;5015
;;Solrød;1222;1747;1755;2011;1432;1476;1508;1293;1277;1185;1248;1211;1227;1007
;;Faxe;2180;2809;2758;2788;2659;2204;2354;2350;2306;2484;2039;1862;1758;2525
;;Guldborgsund;5516;5615;5796;5047;5160;4723;5447;5162;4772;5250;4872;4538;5085;4518
;;Holbæk;5160;6227;6040;5464;5441;5254;5816;4898;4281;4542;4730;4409;4393;5023
;;Kalundborg;3878;4731;4483;3926;3795;3573;3573;3376;2945;3061;2991;2841;3013;2306
;;Lolland;4269;5118;5224;4633;4538;3758;4169;4032;5486;5532;4499;4365;4878;3153
;;Næstved;5909;6841;6660;6283;6459;5890;5898;6216;5634;6235;5523;6396;5083;5647
;;Odsherred;2311;2478;3084;2808;3048;2696;2576;2556;2139;2293;2670;2534;2326;2157
;;Ringsted;2804;3040;3135;3049;2735;2776;2440;2519;2750;2398;2727;2413;2128;2262
;;Slagelse;7164;7640;7582;7585;7940;7503;7241;7507;7768;7598;7016;8412;6447;6117
;;Sorø;1795;1996;2034;2557;2152;1929;1928;2249;1948;2331;2132;1844;1752;1472
;;Stevns;881;1003;994;1179;929;983;1036;1000;914;926;891;983;805;788
;;Vordingborg;3570;4177;3764;3559;3977;3119;2931;3166;3174;3577;3387;2748;2779;2412
;;Assens;2453;2788;2958;2820;2411;2406;2363;2125;1781;1923;1603;1890;2214;2628
;;Faaborg-Midtfyn;2376;2988;3233;3122;3304;2972;2407;2837;2330;2153;2414;2519;2148;2235
;;Kerteminde;1341;1375;1616;1424;1300;1405;1386;1232;1154;924;977;1100;1079;1121
;;Langeland;656;838;942;779;700;782;583;592;556;572;601;618;645;582
;;Middelfart;2845;3164;3116;3114;3087;2729;2510;2605;1984;2170;2462;2181;2263;2087
;;Nordfyns;1692;2022;2375;1989;1915;1740;1396;1521;1247;1390;1228;1611;1417;1398
;;Nyborg;2404;2843;3136;2824;2880;2845;2260;2312;2139;2168;2315;2097;2230;2037
;;Odense;23142;23739;24112;22982;22989;20979;21051;19528;17746;17240;16923;15967;16519;17013
;;Svendborg;3844;4501;4419;4398;4184;3893;3756;3335;3072;2895;3591;3296;3294;3261
;;Ærø;255;222;196;164;149;192;203;160;144;160;340;457;166;149
;;Billund;1839;2262;2582;2700;2575;2594;2341;2048;1981;1756;1981;2030;2174;1701
;;Esbjerg;10639;11438;11085;11294;11666;10198;9681;9652;8930;8875;8676;9421;9357;9246
;;Fanø;281;173;167;170;151;183;166;183;146;143;178;233;153;160
;;Fredericia;5447;6046;6005;6193;5901;5275;5968;5435;5220;5366;5442;4714;4786;4279
;;Haderslev;5108;5583;5305;4599;4499;4258;4159;4546;4017;4508;3830;3439;3125;2719
;;Kolding;9291;9876;9838;8663;8963;7823;8004;8204;8125;7150;8076;7950;6807;5857
;;Sønderborg;5496;6110;6502;6117;5983;5074;5136;5040;4129;4620;4639;4446;4130;3334
;;Tønder;3188;3324;3189;3109;3410;2828;2814;2673;2388;2178;2154;2610;3105;2224
;;Varde;3325;3570;3687;3765;3742;3257;3043;2921;2744;2663;2841;3059;2911;2373
;;Vejen;3396;3271;3296;3611;3144;2955;3402;2470;2276;2218;2103;2183;2225;2107
;;Vejle;8620;9735;10534;10013;11018;8992;8803;8270;8075;7461;7778;8162;7862;6400
;;Aabenraa;6635;7349;7255;6569;6555;5627;5355;5553;5783;5671;5645;5285;5344;5528
