Charged criminal offences;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Nature of the offence, total;Copenhagen;20713;20635;18901;19408;21494;23078;24210;25996;24442;26842;23763;24527;30323;30957
Charge;Nature of the offence, total;Frederiksberg;1305;1243;1189;1179;1345;1701;1674;1653;1571;1425;1726;1425;1710;1875
Charge;Nature of the offence, total;Dragør;107;89;106;118;109;126;64;68;107;119;111;91;135;139
Charge;Nature of the offence, total;Tårnby;1355;1746;1936;1778;1861;2167;2073;2656;3765;2479;2407;2536;2762;1585
Charge;Nature of the offence, total;Albertslund;697;803;642;884;861;889;1018;958;787;1145;887;944;912;1671
Charge;Nature of the offence, total;Ballerup;964;909;817;767;820;814;1096;1101;1199;1293;1042;1051;1244;1263
Charge;Nature of the offence, total;Brøndby;699;617;626;677;946;760;795;970;1010;1499;1283;1357;1158;870
Charge;Nature of the offence, total;Gentofte;711;667;752;931;791;659;665;785;513;562;711;837;962;959
Charge;Nature of the offence, total;Gladsaxe;829;758;813;727;830;812;1032;1051;1328;1038;961;1079;1023;1424
Charge;Nature of the offence, total;Glostrup;679;727;672;661;690;682;795;983;858;899;630;721;845;732
Charge;Nature of the offence, total;Herlev;499;437;403;491;589;511;580;656;621;548;549;723;1050;1280
Charge;Nature of the offence, total;Hvidovre;936;953;829;970;943;946;1026;1164;1187;1105;879;1063;1287;1587
Charge;Nature of the offence, total;Høje-Taastrup;805;898;876;1019;903;807;996;1223;1389;1316;1206;1298;1801;1652
Charge;Nature of the offence, total;Ishøj;567;563;518;511;551;629;526;651;669;665;589;972;730;807
Charge;Nature of the offence, total;Lyngby-Taarbæk;1031;946;794;870;906;938;830;967;986;827;860;1177;937;994
Charge;Nature of the offence, total;Rødovre;943;858;704;884;889;977;995;940;1022;823;839;942;1034;1027
Charge;Nature of the offence, total;Vallensbæk;167;129;170;173;147;189;155;210;227;196;141;195;287;217
Charge;Nature of the offence, total;Allerød;182;228;201;277;282;396;410;566;475;1151;776;802;663;333
Charge;Nature of the offence, total;Egedal;342;346;377;368;384;322;277;325;366;333;269;345;324;359
Charge;Nature of the offence, total;Fredensborg;352;365;395;436;403;425;448;502;422;358;278;426;514;581
Charge;Nature of the offence, total;Frederikssund;672;839;750;685;611;710;794;723;649;723;758;672;772;712
Charge;Nature of the offence, total;Furesø;362;327;289;476;356;438;406;327;320;347;422;468;441;479
Charge;Nature of the offence, total;Gribskov;432;394;469;474;466;484;346;553;918;463;465;525;646;614
Charge;Nature of the offence, total;Halsnæs;472;562;546;556;552;779;580;552;411;541;538;501;560;557
Charge;Nature of the offence, total;Helsingør;1335;1449;1366;1497;1601;1635;1978;1930;1169;1159;1463;1220;1530;1821
Charge;Nature of the offence, total;Hillerød;915;789;770;916;2998;1092;955;1034;853;1143;939;956;958;1071
Charge;Nature of the offence, total;Hørsholm;216;184;213;306;281;225;232;192;187;187;235;706;382;893
Charge;Nature of the offence, total;Rudersdal;401;372;482;462;533;524;386;421;540;669;517;572;739;760
Charge;Nature of the offence, total;Bornholm;759;886;831;818;731;821;966;918;908;832;750;779;948;885
Charge;Nature of the offence, total;Christiansø;1;0;0;0;1;0;0;0;0;0;1;0;0;0
Charge;Nature of the offence, total;Greve;604;683;829;927;920;1270;1126;1194;1023;1083;1031;1112;1050;1136
Charge;Nature of the offence, total;Køge;885;861;1021;1006;1027;1120;1342;1451;1174;1196;1099;1019;1221;1498
Charge;Nature of the offence, total;Lejre;205;203;228;367;280;310;286;304;245;299;244;667;325;244
Charge;Nature of the offence, total;Roskilde;1421;1580;1692;1642;2400;2627;2691;3324;2446;2368;3110;2983;2319;1764
Charge;Nature of the offence, total;Solrød;115;179;196;212;186;241;239;227;244;273;248;287;283;255
Charge;Nature of the offence, total;Faxe;294;313;360;503;629;458;530;640;555;1023;454;534;613;1456
Charge;Nature of the offence, total;Guldborgsund;1332;1213;1235;1300;1533;1452;1821;1676;1536;2362;1824;1776;2462;2446
Charge;Nature of the offence, total;Holbæk;1037;1017;954;1155;1422;1471;1993;1552;1410;1418;1309;1470;1522;2490
Charge;Nature of the offence, total;Kalundborg;722;707;715;869;707;873;988;776;795;867;850;915;1114;793
Charge;Nature of the offence, total;Lolland;1017;963;1103;1058;1146;948;1128;1169;1301;2196;1544;1515;2186;1418
Charge;Nature of the offence, total;Næstved;1220;1087;1186;1215;1639;1622;1531;1829;1587;2347;1532;3216;2007;3128
Charge;Nature of the offence, total;Odsherred;366;372;489;519;542;575;519;780;597;515;520;620;624;741
Charge;Nature of the offence, total;Ringsted;456;448;455;592;693;887;601;672;858;658;895;756;738;859
Charge;Nature of the offence, total;Slagelse;1537;1449;1227;1583;2074;1995;2031;2436;3186;3055;2072;4457;2865;3142
Charge;Nature of the offence, total;Sorø;263;272;278;647;428;377;385;497;505;817;463;652;673;605
Charge;Nature of the offence, total;Stevns;158;113;125;160;195;208;189;245;223;261;191;316;249;260
Charge;Nature of the offence, total;Vordingborg;696;770;633;764;1061;898;763;941;838;1329;1223;954;1291;1082
Charge;Nature of the offence, total;Assens;534;503;464;611;584;561;501;541;441;424;349;564;733;1050
Charge;Nature of the offence, total;Faaborg-Midtfyn;621;584;633;667;1013;703;547;864;652;617;703;809;709;702
Charge;Nature of the offence, total;Kerteminde;245;160;219;220;231;284;299;297;259;165;217;364;307;432
Charge;Nature of the offence, total;Langeland;140;189;178;177;157;186;123;175;149;156;123;182;255;200
Charge;Nature of the offence, total;Middelfart;631;657;488;578;675;687;548;700;484;428;583;645;764;796
Charge;Nature of the offence, total;Nordfyns;343;346;348;368;388;349;295;359;313;466;297;565;514;460
Charge;Nature of the offence, total;Nyborg;578;572;674;739;903;819;658;726;651;799;956;718;808;933
Charge;Nature of the offence, total;Odense;5281;4400;4700;5152;5847;5617;5801;5861;4811;4577;5655;5020;5667;7221
Charge;Nature of the offence, total;Svendborg;1047;1081;1073;1244;1252;1112;1256;1140;1112;1029;1247;1177;1257;1162
Charge;Nature of the offence, total;Ærø;67;65;47;28;31;52;51;36;44;48;52;61;49;46
Charge;Nature of the offence, total;Billund;426;510;463;641;836;824;766;786;608;645;594;654;810;683
Charge;Nature of the offence, total;Esbjerg;2515;2663;2773;2722;3653;3349;3279;3298;3547;3059;3024;4162;4605;4879
Charge;Nature of the offence, total;Fanø;33;26;23;20;42;51;33;52;42;40;56;72;31;46
Charge;Nature of the offence, total;Fredericia;1254;1145;1168;1410;1553;1563;2071;1613;1603;1642;1666;1588;2153;2262
Charge;Nature of the offence, total;Haderslev;1033;974;1025;957;1199;1310;1107;1284;1416;1804;1274;1287;1250;1195
Charge;Nature of the offence, total;Kolding;1961;1996;1924;1771;2269;2222;2572;2917;2518;1873;2047;2631;2550;2796
Charge;Nature of the offence, total;Sønderborg;1069;1073;1217;1335;1639;1496;1450;1387;1273;1334;1382;1479;1801;1370
Charge;Nature of the offence, total;Tønder;785;685;715;853;1088;850;885;766;895;793;654;1039;1753;1169
Charge;Nature of the offence, total;Varde;531;601;628;698;914;840;806;754;873;742;799;1213;1452;1011
Charge;Nature of the offence, total;Vejen;660;586;556;681;939;845;1149;827;892;832;659;755;935;852
Charge;Nature of the offence, total;Vejle;1434;1502;1752;2116;3134;2743;2735;2965;2839;2307;2115;2531;3427;3044
Charge;Nature of the offence, total;Aabenraa;1608;1642;1801;1904;2173;1916;1726;1971;1842;2154;1771;2016;2617;2773
Charge;Nature of the offence, total;Favrskov;470;430;439;540;707;543;448;452;504;484;1451;582;589;717
Charge;Nature of the offence, total;Hedensted;507;407;423;545;726;661;703;562;658;693;593;754;833;678
Charge;Nature of the offence, total;Horsens;1780;1494;1702;1963;2792;2648;2468;2151;2105;1697;1924;2458;3151;2453
Charge;Nature of the offence, total;Norddjurs;743;719;706;819;972;790;686;794;857;1067;555;935;957;784
Charge;Nature of the offence, total;Odder;151;180;209;209;240;204;204;215;192;225;189;246;243;258
Charge;Nature of the offence, total;Randers;2011;2082;2390;2593;2835;2764;2615;2280;2317;3537;2334;2187;3708;3276
Charge;Nature of the offence, total;Samsø;23;32;22;42;49;23;39;51;89;75;55;59;76;70
Charge;Nature of the offence, total;Silkeborg;1026;1167;1280;1387;1657;1726;1779;1795;1527;1425;1519;1944;2060;1924
Charge;Nature of the offence, total;Skanderborg;609;507;572;567;842;999;985;807;739;743;643;650;909;683
Charge;Nature of the offence, total;Syddjurs;481;484;501;635;613;583;588;454;578;521;662;644;558;784
Charge;Nature of the offence, total;Aarhus;6688;6743;6509;6953;7980;8403;8091;9490;8343;9424;8595;9465;10437;11270
Charge;Nature of the offence, total;Herning;1274;1291;1526;1428;1576;1927;1812;1785;2290;2050;2075;2590;3003;2726
Charge;Nature of the offence, total;Holstebro;964;1037;1037;1059;1265;1410;1454;1318;1236;1001;1931;1483;2108;1465
Charge;Nature of the offence, total;Ikast-Brande;569;577;629;807;904;888;740;701;642;661;600;839;3922;1723
Charge;Nature of the offence, total;Lemvig;214;186;180;224;274;273;255;269;274;193;166;304;373;395
Charge;Nature of the offence, total;Ringkøbing-Skjern;647;658;618;749;829;872;702;794;764;822;795;784;762;755
Charge;Nature of the offence, total;Skive;778;880;631;713;1051;914;1026;901;1039;809;736;876;1402;1048
Charge;Nature of the offence, total;Struer;279;369;359;315;354;301;309;339;413;356;394;342;732;475
Charge;Nature of the offence, total;Viborg;1369;1415;1328;1407;1697;1749;1650;2079;1732;1884;1817;2638;2311;2020
Charge;Nature of the offence, total;Brønderslev;525;415;414;474;722;634;695;687;538;587;505;639;517;610
Charge;Nature of the offence, total;Frederikshavn;988;866;1253;1183;1568;1390;1248;1218;1126;1557;1432;2412;1267;1237
Charge;Nature of the offence, total;Hjørring;1297;986;1055;1290;1583;1709;1597;1561;1562;1763;2035;1416;1240;1203
Charge;Nature of the offence, total;Jammerbugt;343;425;492;469;644;600;575;514;627;680;409;580;572;667
Charge;Nature of the offence, total;Læsø;8;3;23;23;32;33;25;36;25;15;12;22;31;13
Charge;Nature of the offence, total;Mariagerfjord;675;551;696;721;914;824;771;1059;864;789;598;765;663;745
Charge;Nature of the offence, total;Morsø;262;356;378;303;381;279;343;540;336;307;555;470;445;330
Charge;Nature of the offence, total;Rebild;219;218;252;256;430;451;455;420;362;518;284;361;425;477
Charge;Nature of the offence, total;Thisted;703;750;942;729;862;799;857;798;748;931;705;1010;1039;699
Charge;Nature of the offence, total;Vesthimmerlands;492;557;530;503;671;761;771;728;945;746;679;595;549;600
Charge;Nature of the offence, total;Aalborg;3957;3826;4011;4242;5971;5811;6596;6917;6284;6360;5695;5887;5927;5069
Charge;Nature of the offence, total;Unknown municipality;2503;1884;1967;3661;5401;5658;5113;7625;11115;12948;12367;12530;9130;13677
Charge;Penal Code, total;Copenhagen;11497;10960;10772;11826;12384;11905;12425;13326;13522;15205;13144;12887;16155;17402
Charge;Penal Code, total;Frederiksberg;987;977;960;979;1106;1219;1238;1208;1168;924;1217;1018;1053;1230
Charge;Penal Code, total;Dragør;83;65;74;75;77;94;43;34;64;65;63;54;75;71
Charge;Penal Code, total;Tårnby;770;1014;1189;1040;940;1108;1010;1076;2645;1000;1000;1238;1488;810
Charge;Penal Code, total;Albertslund;433;587;426;630;580;568;562;582;433;761;608;538;487;1260
Charge;Penal Code, total;Ballerup;577;621;619;583;581;552;641;570;650;950;705;598;583;804
Charge;Penal Code, total;Brøndby;457;399;383;455;555;513;421;515;515;1044;921;825;552;481
Charge;Penal Code, total;Gentofte;568;499;578;754;596;473;489;558;350;405;546;580;577;654
Charge;Penal Code, total;Gladsaxe;629;585;594;577;581;585;540;591;976;583;673;582;516;630
Charge;Penal Code, total;Glostrup;493;531;541;531;489;527;524;599;449;548;436;462;427;458
Charge;Penal Code, total;Herlev;365;329;304;388;449;397;373;431;418;350;316;428;703;1016
Charge;Penal Code, total;Hvidovre;758;691;585;756;694;642;606;580;661;705;576;632;723;1107
Charge;Penal Code, total;Høje-Taastrup;593;662;712;815;688;581;606;771;967;934;885;739;1177;1255
Charge;Penal Code, total;Ishøj;385;418;403;392;437;514;393;434;474;453;395;653;408;448
Charge;Penal Code, total;Lyngby-Taarbæk;775;734;626;719;731;717;615;701;781;649;702;966;597;691
Charge;Penal Code, total;Rødovre;801;676;579;729;662;661;550;538;606;503;572;562;684;639
Charge;Penal Code, total;Vallensbæk;102;78;123;125;96;133;94;110;150;98;81;90;146;99
Charge;Penal Code, total;Allerød;125;174;158;212;215;270;267;288;177;431;157;215;118;125
Charge;Penal Code, total;Egedal;216;223;261;273;270;201;185;231;280;195;174;189;140;195
Charge;Penal Code, total;Fredensborg;281;262;315;369;325;340;326;367;321;227;192;252;222;333
Charge;Penal Code, total;Frederikssund;461;538;440;465;419;496;496;453;381;428;530;374;360;390
Charge;Penal Code, total;Furesø;250;223;216;384;280;339;292;231;226;250;337;285;218;314
Charge;Penal Code, total;Gribskov;319;288;358;356;347;355;254;352;730;309;335;301;291;278
Charge;Penal Code, total;Halsnæs;287;344;365;395;395;583;388;369;259;366;380;316;272;286
Charge;Penal Code, total;Helsingør;926;1011;894;1041;1088;983;1320;989;645;657;833;585;657;936
Charge;Penal Code, total;Hillerød;685;564;576;713;2787;739;630;666;536;831;641;627;553;650
Charge;Penal Code, total;Hørsholm;181;136;139;240;247;163;164;136;149;135;186;629;249;159
Charge;Penal Code, total;Rudersdal;318;274;373;397;423;420;297;312;428;534;387;394;356;373
Charge;Penal Code, total;Bornholm;485;632;580;545;492;504;530;449;445;418;425;376;364;423
Charge;Penal Code, total;Christiansø;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Charge;Penal Code, total;Greve;445;535;655;749;699;772;564;581;481;478;649;513;350;497
Charge;Penal Code, total;Køge;577;610;687;709;650;689;676;784;585;670;614;451;492;911
Charge;Penal Code, total;Lejre;142;146;167;275;182;227;183;208;119;106;142;521;99;134
Charge;Penal Code, total;Roskilde;965;1017;1041;997;1416;1171;1212;1174;1254;1047;1658;1510;898;980
Charge;Penal Code, total;Solrød;93;142;152;150;135;167;168;112;127;155;166;165;104;127
Charge;Penal Code, total;Faxe;234;252;273;337;384;258;358;399;292;740;299;279;240;418
