Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Region Hovedstaden;Nature of the offence, total;192915;201759;209213;203678;208004;208997;215615;209536;203995;214322;200573;189236;192709;164550
Reported criminal offences;Region Hovedstaden;Penal Code, total;165477;173385;183671;177703;179134;178440;175905;168149;166245;173218;161039;145280;144919;124249
Reported criminal offences;Region Hovedstaden;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Sexual offenses, total;690;683;615;653;665;730;732;611;797;1823;3302;2684;1583;1628
Reported criminal offences;Region Hovedstaden;Incest, etc.;17;9;18;9;15;16;10;4;15;19;11;9;9;8
Reported criminal offences;Region Hovedstaden;Rape, etc.;158;151;124;123;89;99;112;119;149;250;301;314;319;345
Reported criminal offences;Region Hovedstaden;Heterosexual offence against a child under 12 (Repealed in 2013);38;19;27;25;30;31;12;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;19;29;44;214;145;111;50;64
Reported criminal offences;Region Hovedstaden;Any other kind of heterosexual offence (Repealed in 2013);38;44;57;50;54;77;48;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;14;22;36;159;100;192;45;56
Reported criminal offences;Region Hovedstaden;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;21;27;40;58;63;158;101;88
Reported criminal offences;Region Hovedstaden;Homosexual offence against a child under 12 (Repealed in 2013);4;2;0;2;0;1;0;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Any other kind of homosexual offence (Repealed in 2013);4;1;2;1;2;6;1;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Offence against public decency by groping;120;131;129;125;137;132;134;128;224;224;286;281;274;306
Reported criminal offences;Region Hovedstaden;Offence against public decency by indecent exposure;129;118;80;140;159;137;141;144;120;162;144;139;162;175
Reported criminal offences;Region Hovedstaden;Any other kind of offence against public decency;104;125;101;117;105;175;176;90;130;322;987;824;441;427
Reported criminal offences;Region Hovedstaden;Prostitution, etc.;78;83;77;61;74;56;44;48;39;415;1265;656;182;159
Reported criminal offences;Region Hovedstaden;Crimes of violence, total;6456;5790;5622;5341;5182;4874;5297;5846;6236;7107;8798;9347;9740;8865
Reported criminal offences;Region Hovedstaden;Violence against public authority;1263;1038;919;904;921;795;1055;1107;1315;1571;2065;2020;2045;1627
Reported criminal offences;Region Hovedstaden;Unlawful assembly/disturbance of public order;206;9;35;4;65;8;27;55;62;110;192;195;292;134
Reported criminal offences;Region Hovedstaden;Homicide;10;16;21;14;23;18;11;23;18;17;18;16;22;14
Reported criminal offences;Region Hovedstaden;Attempted homicide;72;107;100;74;60;66;89;77;69;111;106;109;72;69
Reported criminal offences;Region Hovedstaden;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;62;158
Reported criminal offences;Region Hovedstaden;Common assault;3017;2887;2708;2553;2459;2260;2390;2694;2752;2976;3348;3827;3952;3558
Reported criminal offences;Region Hovedstaden;Assault causing actual bodily harm;645;504;510;522;526;531;510;590;559;713;827;739;796;692
Reported criminal offences;Region Hovedstaden;Particularly aggravated assault;4;9;5;8;6;5;6;5;3;5;8;7;2;2
Reported criminal offences;Region Hovedstaden;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Hovedstaden;Causing death or bodily harm by negligence;4;13;10;14;7;6;6;11;7;10;12;14;18;3
Reported criminal offences;Region Hovedstaden;Offences against life and limb;119;119;175;123;122;151;133;154;160;170;592;428;298;294
Reported criminal offences;Region Hovedstaden;Offences against personal liberty;94;81;117;102;93;96;105;80;86;123;123;151;164;172
Reported criminal offences;Region Hovedstaden;Threats;1022;1007;1022;1023;900;938;965;1050;1205;1301;1507;1841;2017;2142
Reported criminal offences;Region Hovedstaden;Offences against property, total;155615;164243;175040;168823;170275;169935;166178;158236;155858;161245;145660;129622;129564;109418
Reported criminal offences;Region Hovedstaden;Forgery;955;788;722;1059;2080;1145;1005;857;1309;1514;962;673;961;898
Reported criminal offences;Region Hovedstaden;Cheque forgery;98;107;189;192;75;28;31;31;5;4;0;0;0;0
Reported criminal offences;Region Hovedstaden;Arson;701;815;426;351;248;207;664;398;344;415;466;530;744;561
Reported criminal offences;Region Hovedstaden;Burglary - business and community;8951;9633;11709;10558;8621;7337;7281;6452;6078;4644;4015;4207;4163;3262
Reported criminal offences;Region Hovedstaden;Residential burglaries;11005;12182;16168;15625;15460;14210;14118;12219;11261;11792;9907;9168;8726;5896
